Title,Year,Rating,Votes,1,2,3,4,5,6,7,8,9,10,WorldwideBox Office
Kate & Leopold,2001,6.4,84837.0,5747.0,4409.0,11615.0,23031.0,21676.0,10417.0,4195.0,1840.0,934.0,973.0,76019048.0
3 Men and a Little Lady,1990,5.4,24975.0,1482.0,691.0,1698.0,3363.0,5619.0,5822.0,3195.0,1617.0,793.0,695.0,71609321.0
The Adventures of Ford Fairlane,1990,6.4,18338.0,3060.0,1462.0,2690.0,3255.0,2726.0,1723.0,1166.0,811.0,635.0,810.0,21413502.0
Air America,1990,5.8,28924.0,1195.0,663.0,2123.0,5338.0,8555.0,6295.0,2629.0,1110.0,489.0,527.0,33461269.0
Alice,1990,6.6,14431.0,722.0,781.0,2274.0,4450.0,3486.0,1447.0,547.0,242.0,154.0,328.0,7331647.0
Another 48 Hrs.,1990,5.9,41940.0,1599.0,995.0,3015.0,7739.0,13481.0,8995.0,3396.0,1430.0,706.0,584.0,153518974.0
Arachnophobia,1990,6.5,70280.0,2994.0,2723.0,9742.0,20540.0,19160.0,8641.0,3391.0,1501.0,758.0,830.0,53208180.0
Awakenings,1990,7.8,141275.0,17460.0,24813.0,51321.0,32650.0,9746.0,2895.0,1099.0,420.0,321.0,550.0,52096475.0
Back to the Future Part III,1990,7.4,443814.0,51581.0,48814.0,118953.0,135320.0,57470.0,19057.0,6507.0,2887.0,1485.0,1740.0,245077583.0
Bird on a Wire,1990,6.0,44902.0,1982.0,1225.0,3800.0,9415.0,13689.0,8522.0,3463.0,1391.0,700.0,715.0,138697012.0
Blue Steel,1990,5.7,15555.0,410.0,297.0,1074.0,2612.0,4152.0,3524.0,1804.0,922.0,384.0,376.0,8217997.0
The Bonfire of the Vanities,1990,5.6,25216.0,887.0,610.0,1865.0,3748.0,5927.0,5270.0,3197.0,1832.0,926.0,954.0,15691192.0
Cadillac Man,1990,5.7,14589.0,480.0,275.0,892.0,2555.0,4154.0,3487.0,1431.0,642.0,314.0,359.0,27627310.0
Child's Play 2,1990,5.9,51911.0,4391.0,1964.0,4836.0,9049.0,13093.0,9903.0,4382.0,2084.0,1126.0,1083.0,35763605.0
Cry-Baby,1990,6.4,60878.0,7999.0,4011.0,8731.0,13940.0,12324.0,6720.0,3070.0,1648.0,1114.0,1321.0,8266343.0
Cyrano de Bergerac,1990,7.5,24434.0,3844.0,3676.0,6461.0,5644.0,2473.0,1093.0,426.0,254.0,183.0,380.0,5822041.0
Dances with Wolves,1990,8.0,264737.0,46418.0,55148.0,84892.0,46016.0,16612.0,6972.0,3143.0,1890.0,1215.0,2431.0,424208848.0
Darkman,1990,6.4,65027.0,3168.0,2519.0,8981.0,18565.0,17373.0,7931.0,3292.0,1545.0,778.0,875.0,48878502.0
Days of Thunder,1990,6.1,89249.0,4296.0,3011.0,9059.0,19823.0,24957.0,15254.0,6550.0,3090.0,1508.0,1701.0,157920733.0
Death Warrant,1990,5.6,19045.0,1402.0,505.0,1322.0,2913.0,5097.0,4271.0,1844.0,852.0,387.0,452.0,16853487.0
Dick Tracy,1990,6.2,62256.0,3760.0,2497.0,7060.0,13828.0,16209.0,9943.0,4506.0,2092.0,1199.0,1162.0,162738726.0
Die Hard 2,1990,7.1,360900.0,24411.0,29115.0,86963.0,132509.0,57305.0,18295.0,6299.0,2566.0,1558.0,1879.0,240031274.0
DuckTales the Movie: Treasure of the Lost Lamp,1990,6.8,27070.0,2397.0,1587.0,4559.0,8974.0,5747.0,2177.0,786.0,333.0,208.0,302.0,18115724.0
Edward Scissorhands,1990,7.9,486882.0,80168.0,86020.0,161950.0,99394.0,35637.0,12254.0,4896.0,2408.0,1494.0,2661.0,86024005.0
The Exorcist III,1990,6.4,32204.0,2767.0,2282.0,5103.0,6839.0,6462.0,3977.0,2156.0,1343.0,603.0,672.0,39024251.0
Fei ying gai wak,1991,7.2,20878.0,2594.0,1950.0,4899.0,6330.0,3027.0,1142.0,417.0,184.0,108.0,227.0,10405394.0
Flatliners,1990,6.5,87428.0,3717.0,4142.0,13503.0,27861.0,22448.0,9246.0,3455.0,1498.0,782.0,776.0,61489265.0
Frankenhooker,1990,6.2,11220.0,994.0,554.0,1489.0,2403.0,2513.0,1457.0,739.0,439.0,272.0,360.0,205068.0
The Freshman,1990,6.4,20735.0,1088.0,1212.0,3122.0,5788.0,5397.0,2427.0,916.0,360.0,175.0,250.0,21460601.0
Ghost,1990,7.1,216838.0,21424.0,20352.0,47730.0,65862.0,35138.0,14366.0,5661.0,2778.0,1596.0,1931.0,505703557.0
